Town,Year,Town Code,Number of Returns,Percent Affordable,Affordability Score,IIE Score,County
Stratford,2012,138,23864,5.65,15.212708669897685,68.15985834660424,Fairfield
Suffield,2012,139,6088,5.1,13.731825525040387,87.21793249157828,Hartford
Thomaston,2012,140,3576,6.11,16.451265481960153,72.42933476470913,Litchfield
Thompson,2012,141,4057,5.9,15.885837372105547,53.647402989178815,Windham
Tolland,2012,142,6353,3.3,8.88529886914378,88.42310367871391,Tolland
Torrington,2012,143,15673,11.97,32.229402261712444,59.5281747661664,Litchfield
Trumbull,2012,144,15567,5.14,13.839526117393644,88.66025015940146,Fairfield
Union,2012,145,289,2.32,6.24663435648896,74.2969625535126,Tolland
Vernon,2012,146,14045,16.43,44.238018309100696,67.64888483836503,Tolland
Voluntown,2012,147,1186,3.99,10.74313408723748,63.82789870451943,New London
Wallingford,2012,148,20878,5.04,13.5702746365105,79.20850860877384,New Haven
Warren,2012,149,354,0.49,1.3193322563274097,78.09812940963255,Litchfield
Washington,2012,150,1884,1.74,4.68497576736672,94.42691122053789,Litchfield
Waterbury,2012,151,44189,22.09,59.4776521270867,17.911122523176942,New Haven
Waterford,2012,152,9313,4.03,10.850834679590738,78.76334801178761,New London
Watertown,2012,153,10064,4.0,10.770059235325794,77.24249463283562,Litchfield
Westbrook,2012,154,3166,4.7,12.654819601507809,85.35262937411477,Middlesex
West Hartford,2012,155,27627,7.86,21.163166397415186,89.00429656401198,Hartford
West Haven,2012,156,23643,13.11,35.29886914378029,50.237498116497456,New Haven
Weston,2012,157,4069,0.03,0.08077544426494346,99.05659862793668,Fairfield
Westport,2012,158,11820,2.71,7.296715131933225,99.125393405734,Fairfield
Wethersfield,2012,159,12873,8.29,22.320947765212708,80.1198166218277,Hartford
Willington,2012,160,2570,7.55,20.328486806677436,78.81050096262666,Tolland
Wilton,2012,161,7358,3.64,9.800753904146474,98.61990691047508,Fairfield
Winchester,2012,162,5238,12.6,33.92568659127625,60.77104384344224,Litchfield
Windham,2012,163,8996,26.92,72.4824986537426,27.255828192170213,Windham
Windsor,2012,164,13989,7.15,19.251480883144858,74.74965762625501,Hartford
Windsor Locks,2012,165,6189,9.15,24.636510500807756,64.35775935612554,Hartford
Wolcott,2012,166,7533,6.95,18.712977921378567,74.3565492862933,New Haven
Woodbridge,2012,167,4119,1.12,3.0156165858912227,96.28923396415891,New Haven
Woodbury,2012,168,4544,1.82,4.900376952073237,89.12683521148068,Litchfield
Woodstock,2012,169,3470,2.21,5.9504577275175015,78.12337392067451,Windham
Andover,2013,1,1505,4.1,10.846560846560847,82.71490783199425,Tolland
Ansonia,2013,2,8353,15.32,40.52910052910053,51.50954579189141,New Haven
Ashford,2013,3,2009,4.31,11.402116402116402,68.90586459220373,Windham
Avon,2013,4,8330,3.79,10.026455026455027,96.0128003637534,Hartford
Barkhamsted,2013,5,1799,1.01,2.671957671957672,81.75712912577823,Litchfield
Beacon Falls,2013,6,2760,1.47,3.888888888888889,78.6545678036783,New Haven
Berlin,2013,7,9794,8.4,22.222222222222225,85.00220035411178,Hartford
Bethany,2013,8,2426,0.15,0.3968253968253968,91.39396818105544,New Haven
Bethel,2013,9,8467,5.32,14.074074074074074,77.30209987974536,Fairfield
Bethlehem,2013,10,1660,1.65,4.365079365079365,84.83175336484508,Litchfield
Bloomfield,2013,11,10476,11.59,30.66137566137566,78.13047099472908,Hartford
Bolton,2013,12,2261,1.14,3.015873015873016,87.16178046941451,Tolland
Bozrah,2013,13,1188,3.12,8.253968253968255,77.22854124237506,New London
Branford,2013,14,13900,3.38,8.941798941798941,85.85274445460684,New Haven
Bridgeport,2013,15,57580,18.51,48.968253968253975,6.63326613491266,Fairfield
Bridgewater,2013,16,774,0.23,0.6084656084656085,95.0055636149189,Litchfield
Bristol,2013,17,27756,13.45,35.58201058201058,64.6807236152807,Hartford
Brookfield,2013,18,7628,2.44,6.455026455026455,88.02910686442787,Fairfield
Brooklyn,2013,19,3352,11.68,30.8994708994709,69.75588281929919,Windham
Burlington,2013,20,4104,2.04,5.396825396825397,90.11910570668348,Hartford
