Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2015,CHAPLIN,1779094,1763379,5807,176422,111,48516,0.04
2015,CHESHIRE,10996596,10914646,36455,968522,632,265328,0.24
2015,CHESTER,2239514,2228057,7461,208874,140,57441,0.05
2015,CLINTON,8601541,8571040,31986,897656,495,246665,0.23
2015,COLCHESTER,10578442,10418097,44230,998750,579,274659,0.25
2015,COLEBROOK,647418,647783,2379,49956,37,13738,0.01
2015,COLUMBIA,2623792,2612459,8815,245287,155,68379,0.06
2015,CORNWALL,1266012,1261339,3422,143409,79,39438,0.04
2015,COVENTRY,7432406,7389407,26735,739370,402,202655,0.18
2015,CROMWELL,8335502,8318817,35811,833654,468,229093,0.21
2015,DANBURY,94589302,94299112,304729,9721930,4696,2672293,2.44
2015,DARIEN,3007985,2946915,10261,338661,209,93133,0.09
2015,DEEP RIVER,3201930,3197428,12838,300375,185,82603,0.08
2015,DERBY,16959086,16937118,65155,1897223,911,520034,0.47
2015,DURHAM,2546797,2526249,8442,240377,142,66105,0.06
2015,EASTFORD,1203916,1203916,4825,100053,61,27515,0.03
2015,EAST GRANBY,3022193,3011251,11863,295256,148,81195,0.07
2015,EAST HADDAM,4952590,4880105,18423,407522,246,112070,0.1
2015,EAST HAMPTON,6981989,6919286,23484,632386,390,173907,0.16
2015,EAST HARTFORD,102192112,101890710,387608,11389048,5064,3131549,2.86
2015,EAST HAVEN,29205947,29042966,99774,2996902,1583,823104,0.75
2015,EAST LYME,11127199,11045929,40321,1013391,598,280208,0.26
2015,EASTON,1402805,1394061,4941,132061,103,36317,0.03
2015,EAST WINDSOR,10500770,10474100,38289,1082527,552,297697,0.27
2015,ELLINGTON,8051104,8016509,29073,728745,421,200406,0.18
2015,ENFIELD,39069845,38906920,142525,3887499,2028,1067677,0.97
2015,ESSEX,2744185,2732587,12389,263467,175,72453,0.07
2015,FAIRFIELD,19373462,19281972,65708,1908555,1173,523363,0.48
2015,FARMINGTON,11251146,11169349,39502,1061384,635,292807,0.27
2015,FRANKLIN,1385297,1383204,6334,101515,66,29443,0.03
2015,GLASTONBURY,13610908,13532701,48060,1216495,746,334518,0.31
2015,GOSHEN,1538073,1531443,7664,128939,82,35458,0.03
2015,GRANBY,3622243,3613603,11787,322538,210,87191,0.08
2015,GREENWICH,21688758,21596411,78679,2375971,1332,649753,0.59
